x,y
0,76
1,73
2,29
3,28
4,48
5,49
6,49
7,54
8,89
9,99
10,99
11,99
12,87
13,50
14,50
15,50
16,50
17,52
18,53
19,98
20,90
21,96
22,90
23,98
24,89
25,51
26,49
27,50
28,50
29,50
30,49
31,76
32,86
33,90
34,88
35,89
36,85
37,86
38,52
39,50
40,50
41,50
42,49
43,49
44,85
45,89
46,86
47,88
48,89
49,86
50,51
51,51
52,17
53,16
54,17
55,18
56,20
57,19
58,20
59,24
60,32
61,39
62,45
63,45
64,45
65,45
66,46
67,53
68,99
69,88
70,59
71,60
72,63
73,62
74,63
75,64
76,65
77,67
78,71
79,73
80,76
81,80
82,80
83,80
84,80
85,84
86,86
87,88
88,89
89,90
90,91
91,94
92,94
93,94
94,97
95,97
96,101
97,102
98,103
99,103
100,104
101,105
102,78
103,65
104,73
105,73
106,73
107,65
108,110
109,112
110,114
111,115
112,115
113,115
114,115
115,115
116,112
117,111
118,112
119,113
120,111
121,110
122,110
123,110
124,110
125,110
126,110
127,77
128,76
129,74
130,75
131,76
132,77
133,105
134,104
135,104
136,103
137,102
138,99
139,75
140,74
141,75
142,75
143,74
144,95
145,94
146,93
147,93
148,92
149,92
150,89
151,76
152,76
153,75
154,75
155,87
156,89
157,89
158,88
159,87
160,87
161,85
162,83
163,82
164,81
165,81
166,83
167,84
168,83
169,83
170,83
171,83
172,82
173,82
174,82
175,83
176,83
177,83
178,81
179,81
180,80
181,80
182,80
183,80
184,79
185,79
186,77
187,79
188,89
189,89
190,77
191,75
192,77
193,76
194,76
195,76
196,76
197,75
198,75
199,88
200,89
201,89
202,98
203,74
204,72
205,71
206,72
207,72
208,71
209,68
210,70
211,89
212,87
213,88
214,68
215,64
216,63
217,61
218,60
219,60
220,75
221,87
222,87
223,87
224,61
225,57
226,56
227,56
228,55
229,55
230,55
231,56
232,54
233,51
234,48
235,47
236,47
237,47
238,46
239,46
240,45
241,45
242,46
243,49
244,86
245,86
246,86
247,86
248,86
249,86
250,108
251,43
252,43
253,42
254,41
255,41
256,88
257,88
258,97
259,96
260,93
261,86
262,77
263,52
264,36
265,35
266,35
267,34
268,33
269,87
270,96
271,98
272,98
273,88
274,87
275,86
276,86
277,87
278,86
279,89
280,98
281,98
282,97
283,86
284,49
285,50
286,50
287,50
288,51
289,52
290,23
291,15
292,7
293,10
294,10
295,10
296,9
297,9
298,8
299,8
300,13
301,48
302,55
303,82
304,89
305,88
306,86
307,85
308,50
309,50
310,51
311,51
312,50
313,51
314,53
315,88
316,96
317,96
318,96
319,98
320,98
321,51
322,7
323,7
324,8
325,9
326,10
327,87
328,98
329,104
330,101
