x,y
0,125
1,123
2,26
3,23
4,21
5,21
6,20
7,124
8,136
9,146
10,147
11,148
12,158
13,180
14,180
15,180
16,180
17,153
18,126
19,147
20,144
21,133
22,132
23,135
24,145
25,124
26,124
27,124
28,124
29,124
30,123
31,125
32,134
33,129
34,123
35,123
36,128
37,125
38,87
39,88
40,88
41,88
42,88
43,88
44,135
45,137
46,135
47,135
48,134
49,131
50,121
51,54
52,54
53,54
54,54
55,54
56,53
57,53
58,59
59,64
60,52
61,59
62,93
63,121
64,87
65,54
66,54
67,124
68,147
69,148
70,148
71,149
72,136
73,53
74,53
75,54
76,54
77,54
78,125
79,148
80,157
81,149
82,147
83,124
84,181
85,7
86,7
87,7
88,7
89,8
90,172
91,176
92,173
93,173
94,180
95,146
96,65
97,65
98,65
99,59
100,59
101,58
102,158
103,165
104,165
105,160
106,161
107,159
108,122
109,122
110,48
111,48
112,48
113,48
114,48
115,48
116,47
117,47
118,47
119,49
120,65
121,93
122,122
123,123
124,123
125,123
126,123
127,141
128,136
129,133
130,130
131,134
132,127
133,122
134,123
135,122
136,122
137,122
138,124
139,135
140,136
141,137
142,141
143,136
144,125
145,126
146,126
147,126
148,126
149,125
150,141
151,137
152,136
153,137
154,141
155,125
156,122
157,122
158,122
159,122
160,123
161,135
162,136
163,135
164,135
165,136
166,126
167,124
174,65
175,65
176,65
177,65
178,123
179,124
180,124
181,123
182,123
183,123
184,123
185,123
186,136
187,145
188,136
189,144
190,145
191,126
192,122
193,124
194,124
195,124
196,124
197,124
198,141
199,136
200,130
201,127
202,134
203,134
204,123
205,123
206,122
207,122
208,122
209,136
210,146
211,147
212,145
213,146
214,146
215,137
216,137
217,137
218,137
219,137
220,134
221,135
222,135
223,137
224,141
225,124
226,123
227,123
228,123
229,123
230,52
231,58
232,53
233,61
234,61
235,61
236,53
237,52
238,52
239,52
240,52
241,52
242,53
243,122
244,135
245,135
246,127
247,127
248,134
249,134
250,121
251,123
252,123
253,123
254,123
255,123
256,124
257,126
258,126
259,123
260,124
261,126
262,123
263,121
264,124
265,124
266,124
267,124
268,123
269,134
270,131
271,126
272,126
273,131
274,134
275,135
276,134
277,136
278,136
279,145
280,141
281,146
282,148
283,157
284,125
285,125
286,125
287,125
288,125
289,123
290,66
291,35
292,35
293,9
294,13
295,12
296,12
297,12
298,12
299,12
300,18
301,41
302,123
303,127
304,135
305,133
306,141
307,141
308,125
309,124
310,124
311,124
312,124
313,124
314,123
315,134
316,131
317,128
318,128
319,131
320,127
321,56
322,56
323,56
324,56
325,56
326,56
327,134
328,135
329,125
330,124
331,124
332,123
333,124
334,56
335,122
336,56
337,56
338,56
339,122
340,124
341,134
342,134
343,130
344,127
345,125
346,120
347,120
348,120
349,95
350,96
351,100
352,93
353,60
354,57
355,55
356,53
357,52
358,52
359,52
360,55
361,65
362,125
363,146
364,145
365,160
366,182
367,7
368,7
369,7
370,94
371,8
372,94
373,183
374,180
375,170
376,169
377,172
378,159
379,62
380,59
381,57
382,48
383,48
384,46
385,158
386,158
387,153
388,148
389,149
390,158
391,157
392,86
393,86
394,86
395,86
396,86
397,121
398,134
399,134
400,127
401,127
402,133
403,126
404,66
405,65
406,49
407,48
408,48
409,46
410,25
411,48
412,62
413,62
414,62
415,65
416,66
417,120
418,121
419,122
420,122
421,134
422,136
423,134
424,134
425,130
426,123
427,122
428,122
429,122
430,123
431,123
432,135
433,136
434,144
435,145
436,145
437,146
438,180
439,124
440,124
441,124
442,120
443,120
444,126
445,128
446,128
447,127
448,130
449,133
450,121
451,121
452,121
453,121
454,92
455,64
456,124
457,135
458,136
459,134
460,136
461,135
462,125
463,63
464,63
465,61
466,61
467,61
468,61
469,62
470,62
471,63
472,63
473,63
474,64
475,65
476,64
477,63
478,63
479,63
480,63
481,130
482,134
483,130
484,130
485,127
486,124
487,93
488,92
489,64
490,64
491,92
492,126
493,136
494,137
495,136
496,137
497,146
498,158
499,158
500,158
501,158
502,153
503,136
504,136
505,145
506,145
507,141
508,147
509,159
510,124
511,124
512,124
513,123
514,123
515,136
516,135
517,133
518,133
519,136
520,141
521,124
522,153
528,65
529,63
530,63
531,64
532,65
533,65
534,123
535,124
536,123
537,123
538,123
539,123
540,134
541,137
542,136
543,136
544,134
545,127
546,122
547,123
548,124
549,124
550,124
551,124
552,141
553,134
554,130
555,130
556,133
557,127
558,121
559,120
560,92
561,92
562,92
563,121
564,130
565,141
566,136
567,137
568,135
569,124
570,136
571,146
572,147
573,147
574,147
575,148
576,148
577,147
578,148
579,148
580,148
581,125
582,124
583,124
584,125
585,122
586,93
587,65
588,65
589,64
590,18
591,19
592,19
593,19
594,20
595,20
596,20
597,40
598,101
599,126
600,134
601,127
602,134
603,136
604,121
605,64
606,63
607,63
608,63
609,63
610,125
611,126
612,127
613,124
614,125
615,128
616,127
617,57
618,57
619,57
620,57
621,57
622,57
623,126
624,130
625,123
626,121
627,121
628,120
629,62
630,61
631,60
632,60
633,60
634,61
635,126
636,130
637,126
638,136
639,141
640,124
641,62
642,62
643,61
644,61
645,61
646,61
647,59
648,60
649,60
650,60
651,61
652,74
653,76
654,76
655,87
656,89
657,146
658,126
659,126
660,127
661,170
662,180
663,64
664,64
665,65
666,63
667,63
668,61
669,147
670,158
671,153
672,157
673,161
674,159
675,49
676,50
677,50
678,50
679,51
680,50
681,136
682,127
683,126
684,123
685,123
686,125
687,122
688,87
689,121
690,121
691,121
692,122
693,122
694,136
695,137
696,135
697,134
698,134
699,131
700,121
701,122
702,122
703,52
704,52
705,52
706,51
707,51
708,53
709,58
710,49
711,63
712,65
713,120
714,120
715,126
716,135
717,137
718,137
719,145
720,147
721,123
722,123
723,123
724,123
725,123
726,123
727,127
728,134
729,127
730,126
731,129
732,134
733,159
734,124
735,124
736,124
737,124
738,123
739,127
740,134
741,128
742,126
743,126
744,135
745,134
746,124
747,123
748,123
749,123
750,123
751,123
752,134
753,136
754,145
755,141
756,146
757,145
758,123
759,124
760,123
766,65
767,65
768,65
769,65
770,124
771,124
772,124
773,123
774,123
775,123
776,123
777,141
778,137
779,135
780,137
781,136
782,126
783,126
784,126
785,126
786,127
787,145
788,145
789,137
790,145
791,146
792,124
793,124
794,124
795,124
796,122
797,124
798,146
799,134
800,128
801,128
