x,y
0,158
1,156
2,120
3,120
4,120
5,120
6,119
7,154
8,155
9,153
10,151
11,151
12,164
13,151
14,151
15,150
16,150
17,149
18,148
19,174
20,166
21,149
22,148
23,166
24,160
25,146
26,143
27,142
28,142
29,142
30,141
31,174
32,168
33,139
34,140
35,139
36,154
37,138
38,137
39,138
40,138
41,138
42,137
43,137
44,140
45,155
46,152
47,153
48,155
49,133
50,131
51,131
52,131
53,127
54,127
55,126
56,61
57,117
58,120
59,120
60,119
61,122
62,124
63,125
64,125
65,125
66,125
67,155
68,161
69,165
70,165
71,154
72,153
73,123
74,148
75,173
76,121
77,147
78,154
79,165
80,166
81,165
82,167
83,170
84,175
85,117
86,117
87,117
88,117
89,117
90,156
91,165
92,160
93,160
94,165
95,155
96,114
97,107
98,106
99,105
100,104
101,104
102,174
103,154
104,154
105,154
106,157
107,154
108,120
109,99
110,95
111,94
112,94
113,94
114,94
115,94
116,95
117,95
118,95
119,91
120,92
121,95
122,105
123,116
124,116
125,104
126,104
127,148
128,156
129,169
130,167
131,155
132,142
133,117
134,116
135,116
136,117
137,117
138,148
139,165
140,157
141,166
142,166
143,170
144,164
145,174
146,174
147,175
148,175
149,155
150,161
151,157
152,157
153,165
154,170
155,174
156,117
157,117
158,118
159,118
160,119
161,155
162,157
163,155
164,156
165,167
166,148
167,92
168,62
169,63
170,63
171,63
172,64
173,64
174,67
175,69
176,73
177,73
178,83
179,88
180,91
181,91
182,93
183,177
184,176
185,177
186,155
187,156
188,157
189,169
190,176
191,200
192,178
193,179
194,177
195,176
196,176
197,178
198,187
199,155
200,154
201,153
202,132
203,127
204,132
205,133
206,136
207,138
208,147
209,202
210,155
211,151
212,151
213,152
214,157
215,174
216,174
217,175
218,175
219,173
220,163
221,157
222,157
223,162
224,170
225,180
226,182
227,182
228,183
229,183
230,181
231,181
232,183
233,185
234,185
235,185
236,190
237,191
238,191
239,188
240,188
241,189
242,188
243,189
244,131
245,136
246,143
247,143
248,143
249,152
250,202
251,204
252,205
253,189
254,190
255,190
256,184
257,141
258,129
259,131
260,129
261,144
262,181
263,184
264,194
265,183
266,182
267,181
268,204
269,143
270,131
271,142
272,141
273,155
274,170
275,173
276,173
277,173
278,172
279,168
280,162
281,160
282,162
283,166
284,204
285,202
286,163
287,161
288,175
289,160
290,154
291,119
292,71
293,71
294,71
295,71
296,71
297,71
298,70
299,71
300,116
301,117
302,153
303,150
304,149
305,149
306,151
307,149
308,175
309,151
310,150
311,150
312,150
313,146
314,161
315,149
316,165
317,148
318,147
319,146
320,145
321,144
322,142
323,142
324,142
325,141
326,141
327,140
328,165
329,154
330,152
331,143
332,140
333,175
334,137
335,137
336,136
337,135
338,135
339,136
340,140
341,154
342,154
343,155
344,154
345,173
346,127
347,126
348,126
349,98
350,74
351,72
352,71
353,71
354,71
355,86
356,124
357,123
358,123
359,122
360,122
361,153
362,166
363,168
364,166
365,161
366,154
367,118
368,117
369,117
370,117
