x,y
820,163
821,163
822,163
823,163
824,135
825,107
826,107
827,135
828,162
829,162
830,162
831,162
832,162
833,162
834,162
835,105
836,138
837,136
838,136
839,137
840,139
841,107
842,107
843,107
844,107
845,107
846,130
847,134
848,131
849,131
850,131
851,129
852,105
853,105
854,105
855,105
856,105
857,128
858,132
859,136
860,137
861,137
862,138
863,105
864,107
865,107
866,107
867,106
868,107
869,130
870,137
871,137
872,136
873,134
874,135
875,107
876,107
877,107
878,135
879,162
880,135
881,161
882,164
883,220
884,220
885,220
886,221
887,220
888,165
889,165
890,165
891,165
892,162
893,161
894,139
895,137
896,138
897,138
898,135
899,130
900,107
901,105
902,106
903,106
904,106
905,106
906,131
907,136
908,136
909,137
910,137
911,137
912,108
913,108
914,108
915,108
916,108
917,130
918,137
919,136
920,135
921,136
922,138
923,128
924,107
925,107
926,107
927,107
928,107
929,138
930,138
931,134
932,131
933,130
934,105
935,161
936,161
937,161
938,108
939,160
940,161
941,162
942,64
943,64
944,64
949,164
950,162
951,135
952,129
953,138
954,137
955,135
956,138
957,140
958,107
959,107
960,107
961,107
962,107
963,134
964,107
965,137
966,132
967,129
968,130
969,135
970,138
971,135
972,108
973,162
974,162
975,162
976,162
977,140
978,138
979,138
980,138
981,139
982,140
983,135
984,135
985,107
986,107
987,107
988,104
989,129
990,131
991,130
992,137
993,138
994,107
995,135
996,135
997,135
998,134
999,133
1000,134
1001,135
1002,136
1003,137
1004,138
1005,139
1006,148
1007,135
1008,135
1009,135
1010,135
1011,140
1012,138
1013,131
1014,131
1015,131
1016,139
1017,162
1018,162
1019,162
1020,162
1021,108
1022,135
1023,138
1024,138
1025,136
1026,136
1027,137
1028,138
1029,106
1030,162
1031,162
1032,162
1033,162
1034,162
1035,129
1036,130
1037,133
1038,132
1039,132
1040,136
1041,131
1042,135
1043,162
1044,162
1045,162
1046,162
1047,162
1048,138
1049,135
1050,135
1051,135
1052,136
1053,138
1054,135
1055,108
1056,161
1057,161
1058,161
1059,134
1060,134
1061,134
1062,161
1063,161
1064,161
1065,161
1066,161
1067,135
1068,108
1069,108
1070,108
1071,138
1072,134
1073,131
1074,131
1075,131
1076,134
1077,108
1078,108
1079,108
1080,135
1081,135
1082,140
1083,139
1084,137
1085,137
1086,137
1087,137
1088,107
1089,108
1090,108
1091,108
1092,108
1093,135
1094,141
1095,138
1096,134
1097,134
1098,135
1099,138
1100,135
1101,107
1102,135
1103,135
1104,135
1105,107
1106,105
1107,134
1108,136
1109,136
1110,137
1111,138
1112,107
1113,161
1114,162
1120,79
1121,79
1122,79
1123,163
1124,161
1125,160
1126,108
1127,135
1128,135
1129,135
1130,135
1131,134
1132,131
1133,131
1134,131
1135,137
1136,139
1137,135
1138,108
1139,108
1140,108
1141,108
1142,130
1143,134
1144,134
1145,134
1146,135
1147,138
1148,118
1149,118
1150,118
1151,118
1152,129
1153,131
1154,129
1155,129
1156,129
1157,128
1158,107
1159,107
1160,107
1161,107
1162,135
1163,162
1164,135
1165,138
1166,135
1167,134
1168,134
1169,137
1170,139
1171,163
1172,166
1173,165
1174,165
1175,165
1176,165
1177,165
1178,220
1179,220
1180,220
1181,220
1182,163
1183,161
1184,161
1185,162
1186,162
1187,162
1188,162
1189,135
1190,139
1191,137
1192,138
1193,138
1194,139
1195,139
1196,106
1197,105
1198,105
1199,105
1200,105
1201,105
1202,131
1203,136
1204,137
1205,137
1206,139
1207,140
1208,135
1209,108
1210,161
1211,161
1212,161
1213,107
1214,139
1215,136
1216,134
1217,135
1218,138
1219,107
1220,107
1221,107
1222,107
1223,107
1224,138
1225,136
1226,134
1227,137
1228,141
1229,135
1230,162
1231,162
1232,162
1233,135
1234,161
1235,135
1236,108
1237,87
1238,71
1239,87
1240,107
1241,107
1242,107
1243,107
1244,107
1245,107
1246,135
1247,162
1248,138
1249,135
1250,132
1251,132
1252,136
1253,140
1254,108
1255,162
1256,162
1257,162
1258,162
1259,162
1260,129
1261,130
1262,129
1263,126
1264,127
1265,134
1266,140
1267,135
1268,162
1269,162
1270,162
1271,162
1272,162
1273,140
1274,136
1275,132
1276,133
1277,136
1278,138
1279,130
1280,130
1281,130
1282,130
1283,139
1284,139
1285,138
1286,137
1287,139
1288,162
1289,162
1290,162
1291,162
1292,108
1293,160
1294,160
1295,161
1304,107
1305,108
1306,107
1307,138
1308,137
1309,136
1310,138
1311,139
1312,107
1313,162
1314,162
1315,162
1316,162
1317,162
1318,135
1319,139
1320,137
1321,135
1322,136
1323,140
1324,140
1325,134
1326,162
1327,162
1328,162
1329,162
1330,162
1331,130
1332,135
1333,130
1334,129
1335,130
1336,131
1337,105
1338,106
1339,105
1340,104
1341,104
1342,106
1343,134
1344,137
1345,134
1346,131
1347,130
1348,107
1349,108
1350,108
1351,135
1352,161
1353,130
1354,130
1355,129
1356,132
1357,133
1358,133
1359,134
1360,108
1361,108
1362,108
1363,108
1364,135
1365,140
1366,139
1367,137
1368,134
1369,134
1370,134
1371,135
1372,135
1373,135
1374,135
1375,108
1376,161
1377,138
1378,136
1379,130
1380,129
1381,132
1382,131
1383,106
1384,135
1385,135
1386,135
1387,135
1388,134
1389,107
1390,131
1391,130
1392,129
1393,130
1394,136
1395,138
1396,162
1397,162
1398,162
1399,162
1400,162
1401,162
1402,129
1403,138
1404,135
1405,135
1406,136
1407,139
1408,135
1409,108
1410,135
1411,135
1412,135
1413,134
1414,134
1415,134
1416,135
1417,135
1418,161
1419,161
1420,161
1421,135
1422,108
